move , m , 38 , 1441355375770 , -523.2154 , 169.9695
move , m , 38 , 1441355375804 , -524.546 , 168.9738
move , m , 38 , 1441355375837 , -657.8957 , 153.6175
move , m , 38 , 1441355375870 , -622.7855 , 176.3375
move , m , 38 , 1441355375903 , -629.3728 , 191.3005
move , m , 38 , 1441355375937 , -647.4348 , 187.635
move , m , 38 , 1441355375970 , -649.6488 , 174.9864
move , m , 38 , 1441355376003 , -649.3205 , 165.6076
move , m , 38 , 1441355376037 , -665.1658 , 159.2601
move , m , 38 , 1441355376070 , -673.8447 , 149.4929
move , m , 38 , 1441355376103 , -678.5484 , 152.4658
move , m , 38 , 1441355376137 , -683.0694 , 156.6949
move , m , 38 , 1441355376170 , -797.1022 , 166.7708
move , m , 38 , 1441355376203 , -809.2338 , 119.9244
move , m , 38 , 1441355376236 , -741.7322 , 141.9173
move , m , 38 , 1441355376270 , -760.5699 , 136.5681
move , m , 38 , 1441355376303 , -748.874 , 157.3334
move , m , 38 , 1441355376336 , -751.7075 , 157.4243
move , m , 38 , 1441355376370 , -758.4139 , 141.948
move , m , 38 , 1441355376403 , -752.1434 , 138.6035
move , m , 38 , 1441355376436 , -744.8956 , 141.724
move , m , 38 , 1441355376470 , -744.6891 , 143.7813
move , m , 38 , 1441355376503 , -742.1978 , 147.484
move , m , 38 , 1441355376536 , -746.4493 , 145.4685
Test , T , 0 , 1441355376569 , -775.7095 , 27.5137
move , m , 38 , 1441355376603 , -684.996 , 158.6923
move , m , 38 , 1441355376636 , -710.1855 , 153.6823
move , m , 38 , 1441355376669 , -707.329 , 160.8351
move , m , 38 , 1441355376703 , -693.1929 , 160.5775
are , a , 79 , 1441355376736 , -671.1696 , 204.6489
appearing , a , 115 , 1441355376769 , -552.2646 , 370.3783
appearing , a , 115 , 1441355376803 , -558.8482 , 335.5361
appearing , a , 115 , 1441355376836 , -403.6282 , 368.582
appearing , a , 115 , 1441355376869 , -351.0556 , 388.2093
appearing , a , 115 , 1441355376903 , -387.9539 , 361.9959
appearing , a , 115 , 1441355376936 , -422.1482 , 364.1667
appearing , a , 115 , 1441355376969 , -507.2265 , 365.0444
appearing , a , 115 , 1441355377003 , -150.5921 , 318.6009
are , a , 79 , 1441355377036 , -155.5984 , 316.1372
are , a , 79 , 1441355377202 , -162.6472 , 287.5054
are , a , 79 , 1441355377236 , -191.3738 , 265.8995
are , a , 79 , 1441355377269 , -208.5237 , 265.3303
are , a , 79 , 1441355377302 , -282.3541 , 265.0294
are , a , 79 , 1441355377335 , -278.2579 , 248.5213
are , a , 79 , 1441355377369 , -240.1448 , 267.1014
are , a , 79 , 1441355377402 , -257.4896 , 245.4171
are , a , 79 , 1441355377435 , -246.6101 , 259.673
are , a , 79 , 1441355377469 , -249.6145 , 242.7538
are , a , 79 , 1441355377502 , -255.1704 , 236.8928
are , a , 79 , 1441355377535 , -258.898 , 238.3494
are , a , 79 , 1441355377569 , -262.1258 , 235.3092
are , a , 79 , 1441355377602 , -266.1452 , 230.06
appearing , a , 115 , 1441355377635 , -306.5617 , 423.5474
using , i , 85 , 1441355378235 , 175.9897 , 291.8117
using , s , 84 , 1441355378268 , 160.8917 , 304.332
using , i , 85 , 1441355378301 , 183.3068 , 289.7292
using , i , 85 , 1441355378335 , 196.2835 , 279.2148
using , n , 86 , 1441355378368 , 203.6632 , 267.5431
using , n , 86 , 1441355378401 , 205.8854 , 270.4406
using , n , 86 , 1441355378435 , 199.0685 , 275.0958
using , i , 85 , 1441355378468 , 194.431 , 277.9475
using , i , 85 , 1441355378501 , 192.8666 , 280.4273
using , i , 85 , 1441355378534 , 189.4221 , 280.9228
using , i , 85 , 1441355378568 , 189.7533 , 279.9612
using , n , 86 , 1441355378601 , 198.0459 , 277.3995
using , i , 85 , 1441355378634 , 197.2712 , 281.5407
using , n , 86 , 1441355378668 , 199.4892 , 280.5059
using , n , 86 , 1441355378701 , 202.2889 , 279.552
using , n , 86 , 1441355378734 , 202.294 , 281.8465
using , n , 86 , 1441355378768 , 199.9883 , 283.4268
using , n , 86 , 1441355378801 , 200.2497 , 281.3997
using , i , 85 , 1441355378834 , 195.981 , 282.8092
using , i , 85 , 1441355378868 , 196.546 , 279.7556
appearing , e , 118 , 1441355378901 , 96.7077 , 444.9791
