Signior , n , 4 , 1418702851330 , 63.6884 , 63.9757
Signior , g , 3 , 1418702851376 , 51.1616 , 87.3602
Signior , g , 3 , 1418702851412 , 41.2315 , 80.8273
Signior , g , 3 , 1418702851446 , 43.8183 , 87.1697
Signior , g , 3 , 1418702851481 , 43.6422 , 88.9213
Signior , g , 3 , 1418702851516 , 46.2693 , 85.0105
Signior , g , 3 , 1418702851561 , 45.0081 , 85.8592
Signior , g , 3 , 1418702851595 , 49.3445 , 85.7252
Signior , g , 3 , 1418702851631 , 51.563 , 81.9889
Signior , g , 3 , 1418702851665 , 52.0098 , 84.8012
many , n , 20 , 1418702851700 , 445.9403 , 62.4213
many , a , 19 , 1418702851746 , 434.179 , 76.3291
many , a , 19 , 1418702851781 , 432.5494 , 82.173
many , a , 19 , 1418702851815 , 430.9671 , 78.0471
many , a , 19 , 1418702851850 , 424.3258 , 83.5553
many , a , 19 , 1418702851886 , 426.3838 , 85.7146
many , a , 19 , 1418702851931 , 424.6128 , 85.3999
many , a , 19 , 1418702851966 , 426.8456 , 82.6315
many , a , 19 , 1418702852000 , 422.3709 , 86.326
many , a , 19 , 1418702852035 , 433.7539 , 85.398
time , e , 28 , 1418702852114 , 655.2212 , 103.3033
time , e , 28 , 1418702852404 , 654.3533 , 109.7174
ben , o , 54 , 1418702852449 , 364.2835 , 197.6311
my , y , 79 , 1418702852484 , 167.2184 , 213.6247
my , y , 79 , 1418702852520 , 162.549 , 219.4838
my , y , 79 , 1418702852554 , 164.7388 , 218.7877
my , y , 79 , 1418702852588 , 160.8331 , 218.3011
my , m , 78 , 1418702852635 , 152.6866 , 222.6011
my , y , 79 , 1418702852704 , 177.4942 , 260.8249
my , m , 78 , 1418702852738 , 155.0562 , 277.542
my , m , 78 , 1418702852773 , 144.466 , 280.3682
my , m , 78 , 1418702852818 , 149.7594 , 274.5288
my , m , 78 , 1418702852853 , 152.7594 , 268.5228
my , m , 78 , 1418702852888 , 152.3016 , 267.0801
ben , d , 90 , 1418702853003 , 436.4533 , 287.6206
usances , n , 98 , 1418702853373 , 628.2722 , 244.7233
usances , n , 98 , 1418702853408 , 614.2693 , 237.1303
usances , n , 98 , 1418702853443 , 632.3629 , 256.4951
usances , n , 98 , 1418702853479 , 630.0522 , 268.4346
usances , n , 98 , 1418702853514 , 626.1125 , 260.231
usances , n , 98 , 1418702853560 , 624.9111 , 262.0761
usances , n , 98 , 1418702853596 , 628.6466 , 256.0188
usances , n , 98 , 1418702853631 , 627.9458 , 252.8229
usances , n , 98 , 1418702853667 , 622.6261 , 251.6787
usances , n , 98 , 1418702853703 , 622.8148 , 247.4
usances , n , 98 , 1418702853738 , 624.3144 , 246.9806
usances , n , 98 , 1418702853774 , 624.5244 , 245.8368
usances , s , 101 , 1418702854070 , 707.61 , 236.1791
Still , l , 108 , 1418702854107 , 68.1302 , 358.9495
Still , S , 105 , 1418702854152 , -2.9909 , 345.9487
Still , S , 105 , 1418702854187 , 2.6491 , 350.1597
Still , S , 105 , 1418702854222 , 1.2622 , 352.3253
Still , S , 105 , 1418702854258 , -0.2163 , 358.2073
Still , S , 105 , 1418702854293 , 0.2287 , 360.1491
Still , S , 105 , 1418702854339 , -0.5038 , 364.0668
Still , S , 105 , 1418702854374 , 0.4097 , 365.9786
Still , S , 105 , 1418702854409 , -2.5797 , 365.635
Still , S , 105 , 1418702854443 , -4.0951 , 366.5158
I , I , 116 , 1418702854478 , 256.2996 , 301.8983
borne , b , 118 , 1418702854513 , 302.1985 , 324.5311
borne , b , 118 , 1418702854594 , 304.0293 , 310.4123
