Arrows , s , 107 , 1418325044502 , 478.2895 , 284.4331
Arrows , s , 107 , 1418325044536 , 479.0022 , 283.5025
Arrows , s , 107 , 1418325044581 , 481.6799 , 284.5591
Arrows , s , 107 , 1418325044617 , 483.0406 , 284.7954
Arrows , s , 107 , 1418325044652 , 485.7632 , 285.1923
Arrows , s , 107 , 1418325044687 , 486.8403 , 285.6161
Arrows , s , 107 , 1418325044723 , 488.7049 , 285.3129
Arrows , s , 107 , 1418325044758 , 490.2856 , 285.8331
Arrows , s , 107 , 1418325044803 , 491.648 , 286.2839
Arrows , s , 107 , 1418325045655 , 491.41 , 266.5959
Arrows , s , 107 , 1418325045691 , 487.7303 , 263.7907
Arrows , s , 107 , 1418325045725 , 484.8503 , 260.4878
Arrows , s , 107 , 1418325045760 , 482.1476 , 257.0692
Arrows , s , 107 , 1418325045795 , 479.4752 , 254.4165
Arrows , s , 107 , 1418325045831 , 477.3161 , 251.8372
Arrows , s , 107 , 1418325045877 , 475.4729 , 250.114
Arrows , s , 107 , 1418325045911 , 473.3714 , 248.3403
Arrows , s , 107 , 1418325045946 , 471.6633 , 245.3403
Arrows , s , 107 , 1418325045981 , 469.3067 , 242.9312
Arrows , w , 106 , 1418325046016 , 466.9863 , 240.8386
Arrows , w , 106 , 1418325046061 , 465.0019 , 239.6091
Arrows , w , 106 , 1418325046095 , 463.179 , 237.9153
Arrows , w , 106 , 1418325046130 , 462.0878 , 237.0369
Arrows , w , 106 , 1418325046165 , 461.1001 , 235.3686
Arrows , w , 106 , 1418325046209 , 460.3191 , 234.3971
Arrows , w , 106 , 1418325046244 , 458.5099 , 234.0523
Arrows , w , 106 , 1418325046279 , 457.2215 , 233.917
Arrows , w , 106 , 1418325046314 , 456.5096 , 234.5389
Arrows , w , 106 , 1418325046349 , 455.4838 , 234.9767
Arrows , w , 106 , 1418325046394 , 454.7348 , 235.5044
Arrows , w , 106 , 1418325046429 , 454.6331 , 236.1042
Arrows , w , 106 , 1418325046464 , 454.7046 , 237.1825
Arrows , w , 106 , 1418325046498 , 454.9368 , 238.3131
Arrows , w , 106 , 1418325046543 , 454.6363 , 240.0827
Arrows , w , 106 , 1418325046577 , 452.9991 , 240.6006
Arrows , w , 106 , 1418325046612 , 452.1574 , 240.9057
Arrows , w , 106 , 1418325046647 , 450.6547 , 242.1962
Arrows , w , 106 , 1418325046692 , 449.0091 , 244.8351
Arrows , w , 106 , 1418325046728 , 447.9933 , 246.8094
Arrows , w , 106 , 1418325046762 , 447.5498 , 248.6997
Arrows , w , 106 , 1418325046798 , 446.5188 , 250.3018
Arrows , w , 106 , 1418325046833 , 451.6104 , 254.7607
Arrows , w , 106 , 1418325046868 , 455.3076 , 260.7446
Arrows , w , 106 , 1418325046904 , 460.9305 , 266.3988
Arrows , w , 106 , 1418325046950 , 466.4583 , 273.0293
Arrows , s , 107 , 1418325046984 , 470.6667 , 277.1018
Arrows , s , 107 , 1418325047019 , 474.8954 , 283.2247
Arrows , s , 107 , 1418325047055 , 479.8271 , 289.1603
Arrows , s , 107 , 1418325047090 , 483.7987 , 295.0171
